bfs_nr,municipality,canton,energyreporter_date,electric_car_share,electric_car_share_last_change,solar_potential_usage,solar_potential_usage_last_change,renewable_heating_share,renewable_heating_share_coverage,renewable_heating_share_last_change
1,Aeugst am Albis,ZH,2021-03-31,0.02657,2021-01-31,0.067675,2020-10-13,0.612903,0.992771,2019-06-13
1,Aeugst am Albis,ZH,2021-04-30,0.026677,2021-03-31,0.067675,2020-10-13,0.612903,0.992762,2019-06-13
1,Aeugst am Albis,ZH,2021-05-31,0.027309,2021-04-30,0.071494,2020-11-11,0.612903,0.992762,2019-06-13
1,Aeugst am Albis,ZH,2021-06-30,0.027955,2021-05-31,0.071494,2020-11-11,0.612903,0.992762,2019-06-13
1,Aeugst am Albis,ZH,2021-07-31,0.028594,2021-06-30,0.071903,2020-11-11,0.614695,0.992762,2019-06-13
1,Aeugst am Albis,ZH,2021-08-31,0.029249,2021-07-31,0.071903,2020-11-11,0.615799,1.0,2019-06-13
1,Aeugst am Albis,ZH,2021-09-30,0.029898,2021-08-31,0.073486,2021-01-29,0.611702,0.995354,2021-09-07
1,Aeugst am Albis,ZH,2021-10-31,0.03066,2021-09-30,0.07805,2021-08-04,0.611702,0.995354,2021-09-07
1,Aeugst am Albis,ZH,2021-11-30,0.030781,2021-10-31,0.078412,2021-08-04,0.611702,0.997685,2021-11-05
1,Aeugst am Albis,ZH,2021-12-31,0.033202,2021-11-30,0.079174,2021-08-04,0.611702,0.997685,2021-11-05
1,Aeugst am Albis,ZH,2022-01-31,0.03645,2021-12-31,0.079174,2021-08-04,0.61939,0.989571,2022-01-04
1,Aeugst am Albis,ZH,2022-02-28,0.038065,2022-01-31,0.079174,2021-08-04,0.61939,0.989571,2022-01-04
1,Aeugst am Albis,ZH,2022-03-31,0.038982,2022-02-28,0.079174,2021-08-04,0.621185,0.989571,2022-01-04
2,Affoltern am Albis,ZH,2021-03-31,0.011798,2020-10-31,0.023919,2020-08-21,0.397487,0.746725,2021-02-22
2,Affoltern am Albis,ZH,2021-04-30,0.013172,2021-03-31,0.023919,2020-08-21,0.39779,0.746817,2021-02-22
2,Affoltern am Albis,ZH,2021-05-31,0.013821,2021-04-30,0.029648,2020-11-25,0.400804,0.747633,2021-02-22
2,Affoltern am Albis,ZH,2021-06-30,0.01433,2021-05-31,0.030214,2021-04-16,0.402813,0.747633,2021-02-22
2,Affoltern am Albis,ZH,2021-07-31,0.014706,2021-06-30,0.030419,2021-04-16,0.404127,0.747357,2021-02-22
2,Affoltern am Albis,ZH,2021-08-31,0.015244,2021-07-31,0.030419,2021-04-16,0.404341,0.997072,2021-07-15
2,Affoltern am Albis,ZH,2021-09-30,0.015559,2021-08-31,0.031495,2021-06-21,0.409045,0.749004,2021-02-22
2,Affoltern am Albis,ZH,2021-10-31,0.015825,2021-09-30,0.03294,2021-06-29,0.408338,0.749095,2021-02-22
2,Affoltern am Albis,ZH,2021-11-30,0.016281,2021-10-31,0.033319,2021-06-29,0.409844,0.768284,2021-11-22
2,Affoltern am Albis,ZH,2021-12-31,0.017375,2021-11-30,0.034146,2021-09-21,0.410141,0.768368,2021-11-22
2,Affoltern am Albis,ZH,2022-01-31,0.018815,2021-12-31,0.034407,2021-09-21,0.410643,0.768452,2021-12-10
2,Affoltern am Albis,ZH,2022-02-28,0.018671,2022-01-31,0.034247,2021-09-21,0.410643,0.768452,2021-12-10
2,Affoltern am Albis,ZH,2022-03-31,0.018549,2022-02-28,0.035664,2021-10-18,0.412267,0.768757,2021-12-10
3,Bonstetten,ZH,2021-03-31,0.017807,2021-02-28,0.04018,2020-01-01,0.379097,0.99182,2020-11-16
3,Bonstetten,ZH,2021-04-30,0.019764,2021-03-31,0.04018,2020-01-01,0.379097,0.991831,2020-11-16
3,Bonstetten,ZH,2021-05-31,0.020021,2021-04-30,0.042175,2020-06-15,0.379982,0.991837,2021-03-30
3,Bonstetten,ZH,2021-06-30,0.020654,2021-05-31,0.044053,2021-04-23,0.379982,0.991837,2021-03-30
3,Bonstetten,ZH,2021-07-31,0.022298,2021-06-30,0.044053,2021-04-23,0.379982,0.991837,2021-03-30
3,Bonstetten,ZH,2021-08-31,0.024674,2021-07-31,0.044053,2021-04-23,0.379982,1.0,2021-03-30
3,Bonstetten,ZH,2021-09-30,0.025791,2021-08-31,0.044881,2021-06-23,0.379982,0.991837,2021-03-30
3,Bonstetten,ZH,2021-10-31,0.026878,2021-09-30,0.046036,2021-06-23,0.379982,0.991837,2021-03-30
3,Bonstetten,ZH,2021-11-30,0.028266,2021-10-31,0.048424,2021-06-23,0.380868,0.994554,2021-04-08
3,Bonstetten,ZH,2021-12-31,0.030356,2021-11-30,0.048657,2021-09-21,0.380868,0.994554,2021-04-08
3,Bonstetten,ZH,2022-01-31,0.031293,2021-12-31,0.048657,2021-09-21,0.380868,0.994554,2021-04-08
3,Bonstetten,ZH,2022-02-28,0.031674,2022-01-31,0.048657,2021-09-21,0.380868,0.994554,2021-04-08
3,Bonstetten,ZH,2022-03-31,0.03148,2022-02-28,0.048657,2021-09-21,0.381754,0.994554,2022-02-16
4,Hausen am Albis,ZH,2021-03-31,0.017825,2021-02-28,0.064151,2020-09-11,0.416107,0.95814,2021-02-22
4,Hausen am Albis,ZH,2021-04-30,0.018576,2021-03-31,0.064151,2020-09-11,0.417225,0.958164,2021-02-22
4,Hausen am Albis,ZH,2021-05-31,0.020336,2021-04-30,0.064474,2020-11-24,0.417225,0.958164,2021-02-22
4,Hausen am Albis,ZH,2021-06-30,0.0203,2021-05-31,0.077626,2021-04-01,0.421103,0.957852,2021-02-22
4,Hausen am Albis,ZH,2021-07-31,0.019763,2021-06-30,0.077626,2021-04-01,0.426806,0.95896,2021-02-22
4,Hausen am Albis,ZH,2021-08-31,0.019737,2021-07-31,0.077626,2021-04-01,0.427212,0.986936,2021-05-04
