bfs_nr,municipality,canton,energyreporter_date,electric_car_share,electric_car_share_last_change,solar_potential_usage,solar_potential_usage_last_change,renewable_heating_share,renewable_heating_share_coverage,renewable_heating_share_last_change
4,Hausen am Albis,ZH,2021-09-30,0.02056,2021-08-31,0.078068,2021-04-01,0.435071,0.959172,2021-05-04
4,Hausen am Albis,ZH,2021-10-31,0.020533,2021-09-30,0.078526,2021-04-01,0.440038,0.961472,2021-05-04
4,Hausen am Albis,ZH,2021-11-30,0.022349,2021-10-31,0.078526,2021-04-01,0.440038,0.984474,2021-11-03
4,Hausen am Albis,ZH,2021-12-31,0.023307,2021-11-30,0.078526,2021-04-01,0.439623,0.985049,2021-12-20
4,Hausen am Albis,ZH,2022-01-31,0.02424,2021-12-31,0.079331,2021-04-01,0.440789,0.9851,2022-01-05
4,Hausen am Albis,ZH,2022-02-28,0.02563,2022-01-31,0.079212,2021-04-01,0.440789,0.9851,2022-01-05
4,Hausen am Albis,ZH,2022-03-31,0.026327,2022-02-28,0.082014,2021-11-24,0.446009,0.985109,2022-03-22
5,Hedingen,ZH,2021-03-31,0.023923,2021-02-28,0.069535,2020-09-28,0.405998,0.989327,2020-12-08
5,Hedingen,ZH,2021-04-30,0.02552,2021-03-31,0.069535,2020-09-28,0.405998,0.989327,2020-12-08
5,Hedingen,ZH,2021-05-31,0.025035,2021-04-30,0.084558,2020-12-18,0.407834,0.989336,2020-12-08
5,Hedingen,ZH,2021-06-30,0.025095,2021-05-31,0.08794,2021-03-17,0.410611,0.989318,2020-12-08
5,Hedingen,ZH,2021-07-31,0.027423,2021-06-30,0.088476,2021-04-22,0.421174,0.990164,2021-06-21
5,Hedingen,ZH,2021-08-31,0.027143,2021-07-31,0.088476,2021-04-22,0.420507,0.998351,2021-06-21
5,Hedingen,ZH,2021-09-30,0.026654,2021-08-31,0.088614,2021-04-22,0.421174,0.990196,2021-06-21
5,Hedingen,ZH,2021-10-31,0.028531,2021-09-30,0.090228,2021-07-12,0.421174,0.990196,2021-06-21
5,Hedingen,ZH,2021-11-30,0.028095,2021-10-31,0.090647,2021-07-12,0.421174,0.998366,2021-06-21
5,Hedingen,ZH,2021-12-31,0.028832,2021-11-30,0.093604,2021-07-12,0.421174,0.998366,2021-06-21
5,Hedingen,ZH,2022-01-31,0.03074,2021-12-31,0.093904,2021-07-12,0.421174,0.998366,2021-06-21
5,Hedingen,ZH,2022-02-28,0.030347,2022-01-31,0.093604,2021-07-12,0.421174,0.998366,2021-06-21
5,Hedingen,ZH,2022-03-31,0.031685,2022-02-28,0.094964,2021-09-16,0.422989,0.998365,2022-02-14
6,Kappel am Albis,ZH,2021-03-31,0.006729,2020-10-31,0.059387,2020-01-01,0.629412,0.946667,2021-01-12
6,Kappel am Albis,ZH,2021-04-30,0.008141,2021-03-31,0.059387,2020-01-01,0.629412,0.946667,2021-01-12
6,Kappel am Albis,ZH,2021-05-31,0.008043,2021-04-30,0.061709,2020-08-26,0.631579,0.947541,2021-04-29
6,Kappel am Albis,ZH,2021-06-30,0.009333,2021-05-31,0.062332,2020-08-26,0.631579,0.947541,2021-04-29
6,Kappel am Albis,ZH,2021-07-31,0.009333,2021-06-30,0.062332,2020-08-26,0.64,0.947883,2021-04-29
6,Kappel am Albis,ZH,2021-08-31,0.009576,2021-07-31,0.062332,2020-08-26,0.641026,0.998288,2021-04-29
6,Kappel am Albis,ZH,2021-09-30,0.010825,2021-08-31,0.062332,2020-08-26,0.642045,0.94703,2021-08-26
6,Kappel am Albis,ZH,2021-10-31,0.012179,2021-09-30,0.062332,2020-08-26,0.642045,0.94703,2021-08-26
6,Kappel am Albis,ZH,2021-11-30,0.013514,2021-10-31,0.063483,2021-02-23,0.642045,0.988764,2021-10-07
6,Kappel am Albis,ZH,2021-12-31,0.014845,2021-11-30,0.063483,2021-02-23,0.642045,0.988764,2021-10-07
6,Kappel am Albis,ZH,2022-01-31,0.016064,2021-12-31,0.063483,2021-02-23,0.642045,0.990369,2022-01-06
6,Kappel am Albis,ZH,2022-02-28,0.016151,2022-01-31,0.063483,2021-02-23,0.642045,0.990369,2022-01-06
6,Kappel am Albis,ZH,2022-03-31,0.018893,2022-02-28,0.065614,2021-02-23,0.642045,0.990369,2022-01-06
7,Knonau,ZH,2021-03-31,0.009486,2020-07-31,0.173267,2020-05-07,0.543353,0.983911,2021-02-22
7,Knonau,ZH,2021-04-30,0.016935,2021-03-31,0.173267,2020-05-07,0.543353,0.983891,2021-02-22
7,Knonau,ZH,2021-05-31,0.017685,2021-04-30,0.173005,2020-05-07,0.543353,0.983891,2021-02-22
7,Knonau,ZH,2021-06-30,0.020701,2021-05-31,0.174085,2020-10-16,0.543353,0.983891,2021-02-22
7,Knonau,ZH,2021-07-31,0.021446,2021-06-30,0.174909,2021-04-01,0.544231,0.98401,2021-02-22
7,Knonau,ZH,2021-08-31,0.022117,2021-07-31,0.174909,2021-04-01,0.545279,1.0,2021-02-22
7,Knonau,ZH,2021-09-30,0.021978,2021-08-31,0.174996,2021-04-01,0.543353,0.98399,2021-02-22
7,Knonau,ZH,2021-10-31,0.025862,2021-09-30,0.178861,2021-06-04,0.544231,0.98401,2021-02-22
7,Knonau,ZH,2021-11-30,0.027451,2021-10-31,0.178861,2021-06-04,0.544231,0.99877,2021-02-22
7,Knonau,ZH,2021-12-31,0.03004,2021-11-30,0.181588,2021-06-04,0.544231,0.998771,2021-02-22
7,Knonau,ZH,2022-01-31,0.032488,2021-12-31,0.184597,2021-06-04,0.544231,0.998771,2021-02-22
7,Knonau,ZH,2022-02-28,0.03481,2022-01-31,0.18159,2021-06-04,0.544231,0.998771,2021-02-22
7,Knonau,ZH,2022-03-31,0.034046,2022-02-28,0.18159,2021-06-04,0.544231,0.998771,2021-02-22
8,Maschwanden,ZH,2021-03-31,0.012136,2020-10-31,0.055427,2019-07-29,0.576087,0.944598,2019-12-11
8,Maschwanden,ZH,2021-04-30,0.01699,2021-03-31,0.055427,2019-07-29,0.576087,0.944444,2019-12-11
8,Maschwanden,ZH,2021-05-31,0.016867,2021-04-30,0.057213,2019-07-31,0.576087,0.944444,2019-12-11
8,Maschwanden,ZH,2021-06-30,0.016908,2021-05-31,0.059535,2021-04-15,0.576087,0.944444,2019-12-11
8,Maschwanden,ZH,2021-07-31,0.019277,2021-06-30,0.059535,2021-04-15,0.576087,0.944444,2019-12-11
8,Maschwanden,ZH,2021-08-31,0.019512,2021-07-31,0.059535,2021-04-15,0.574586,1.0,2019-12-11
8,Maschwanden,ZH,2021-09-30,0.019277,2021-08-31,0.06662,2021-04-15,0.576087,0.944444,2019-12-11
8,Maschwanden,ZH,2021-10-31,0.021739,2021-09-30,0.069526,2021-04-15,0.576087,0.944444,2019-12-11
8,Maschwanden,ZH,2021-11-30,0.024752,2021-10-31,0.069526,2021-04-15,0.576087,1.0,2019-12-11
8,Maschwanden,ZH,2021-12-31,0.025,2021-11-30,0.069526,2021-04-15,0.576087,1.0,2019-12-11
8,Maschwanden,ZH,2022-01-31,0.025381,2021-12-31,0.069526,2021-04-15,0.581522,1.0,2021-03-30
8,Maschwanden,ZH,2022-02-28,0.025641,2022-01-31,0.069526,2021-04-15,0.581522,1.0,2021-03-30
8,Maschwanden,ZH,2022-03-31,0.028278,2022-02-28,0.072366,2021-11-11,0.581522,1.0,2021-03-30
9,Mettmenstetten,ZH,2021-03-31,0.016618,2020-12-31,0.051868,2020-11-30,0.552785,0.986646,2021-02-22
9,Mettmenstetten,ZH,2021-04-30,0.017358,2021-03-31,0.051868,2020-11-30,0.553156,0.986653,2021-02-22
9,Mettmenstetten,ZH,2021-05-31,0.016874,2021-04-30,0.061526,2020-11-30,0.556291,0.98668,2021-02-22
9,Mettmenstetten,ZH,2021-06-30,0.017187,2021-05-31,0.062531,2021-04-27,0.56043,0.98668,2021-02-22
9,Mettmenstetten,ZH,2021-07-31,0.017716,2021-06-30,0.063255,2021-04-30,0.562914,0.98668,2021-02-22
9,Mettmenstetten,ZH,2021-08-31,0.018205,2021-07-31,0.063255,2021-04-30,0.569631,1.0,2021-02-22
9,Mettmenstetten,ZH,2021-09-30,0.018985,2021-08-31,0.063932,2021-05-27,0.567881,0.987179,2021-02-22
9,Mettmenstetten,ZH,2021-10-31,0.020031,2021-09-30,0.06796,2021-05-27,0.57202,0.987186,2021-02-22
9,Mettmenstetten,ZH,2021-11-30,0.021909,2021-10-31,0.068124,2021-05-27,0.57651,0.998975,2021-11-26
9,Mettmenstetten,ZH,2021-12-31,0.023336,2021-11-30,0.069423,2021-08-30,0.578512,0.998979,2021-12-10
9,Mettmenstetten,ZH,2022-01-31,0.023749,2021-12-31,0.069491,2021-08-30,0.580165,0.998989,2022-01-10
9,Mettmenstetten,ZH,2022-02-28,0.025633,2022-01-31,0.069491,2021-08-30,0.580165,0.998989,2022-01-10
9,Mettmenstetten,ZH,2022-03-31,0.026457,2022-02-28,0.070781,2021-09-16,0.582852,0.99899,2022-03-25
10,Obfelden,ZH,2021-03-31,0.015445,2021-02-28,0.041065,2020-08-21,0.431387,0.70738,2021-02-18
10,Obfelden,ZH,2021-04-30,0.017164,2021-03-31,0.041065,2020-08-21,0.432473,0.707228,2021-02-18
10,Obfelden,ZH,2021-05-31,0.017277,2021-04-30,0.042795,2020-10-15,0.432473,0.707532,2021-02-18
10,Obfelden,ZH,2021-06-30,0.016904,2021-05-31,0.044596,2021-03-23,0.437026,0.707532,2021-02-18
10,Obfelden,ZH,2021-07-31,0.018021,2021-06-30,0.044981,2021-05-21,0.436267,0.707532,2021-02-18
10,Obfelden,ZH,2021-08-31,0.019174,2021-07-31,0.044981,2021-05-21,0.435839,1.0,2021-02-18
10,Obfelden,ZH,2021-09-30,0.019602,2021-08-31,0.044981,2021-05-21,0.436267,0.707684,2021-02-18
10,Obfelden,ZH,2021-10-31,0.02139,2021-09-30,0.048414,2021-08-03,0.437785,0.707684,2021-02-18
10,Obfelden,ZH,2021-11-30,0.020896,2021-10-31,0.049499,2021-08-03,0.438543,0.713693,2021-09-21
10,Obfelden,ZH,2021-12-31,0.023603,2021-11-30,0.049496,2021-08-03,0.438543,0.713693,2021-09-21
10,Obfelden,ZH,2022-01-31,0.024551,2021-12-31,0.049496,2021-08-03,0.438543,0.713693,2021-09-21
10,Obfelden,ZH,2022-02-28,0.024858,2022-01-31,0.049496,2021-08-03,0.438543,0.713693,2021-09-21
10,Obfelden,ZH,2022-03-31,0.026583,2022-02-28,0.049857,2021-08-03,0.442089,0.714138,2022-01-31
11,Ottenbach,ZH,2021-03-31,0.014384,2020-10-31,0.046826,2020-01-01,0.432,0.984603,2020-11-19
11,Ottenbach,ZH,2021-04-30,0.021035,2021-03-31,0.046826,2020-01-01,0.432,0.984603,2020-11-19
11,Ottenbach,ZH,2021-05-31,0.020916,2021-04-30,0.04936,2020-07-03,0.433155,0.984565,2020-11-19
11,Ottenbach,ZH,2021-06-30,0.021433,2021-05-31,0.05013,2021-03-29,0.432396,0.984565,2021-05-25
11,Ottenbach,ZH,2021-07-31,0.021812,2021-06-30,0.051407,2021-03-29,0.436412,0.984553,2021-05-25
11,Ottenbach,ZH,2021-08-31,0.021922,2021-07-31,0.051407,2021-03-29,0.435657,0.99835,2021-05-25
11,Ottenbach,ZH,2021-09-30,0.021935,2021-08-31,0.052164,2021-03-29,0.43883,0.987013,2021-05-25
11,Ottenbach,ZH,2021-10-31,0.023411,2021-09-30,0.054391,2021-08-11,0.444887,0.987013,2021-09-27
11,Ottenbach,ZH,2021-11-30,0.02557,2021-10-31,0.054973,2021-08-19,0.444887,0.996751,2021-11-10
11,Ottenbach,ZH,2021-12-31,0.027405,2021-11-30,0.056526,2021-08-27,0.444887,0.996751,2021-11-10
11,Ottenbach,ZH,2022-01-31,0.029395,2021-12-31,0.057274,2021-08-27,0.454305,0.996745,2022-01-04
11,Ottenbach,ZH,2022-02-28,0.030573,2022-01-31,0.056519,2021-08-27,0.454305,0.996745,2022-01-04
11,Ottenbach,ZH,2022-03-31,0.030556,2022-02-28,0.057288,2021-08-27,0.464286,0.997555,2022-01-04
12,Rifferswil,ZH,2021-03-31,0.025487,2020-11-30,0.081184,2019-10-28,0.609524,0.970724,2020-08-24
12,Rifferswil,ZH,2021-04-30,0.02994,2021-03-31,0.081184,2019-10-28,0.609524,0.970724,2020-08-24
12,Rifferswil,ZH,2021-05-31,0.029895,2021-04-30,0.082312,2019-10-28,0.609524,0.970724,2020-08-24
12,Rifferswil,ZH,2021-06-30,0.031532,2021-05-31,0.084072,2020-10-02,0.609524,0.970724,2020-08-24
12,Rifferswil,ZH,2021-07-31,0.031437,2021-06-30,0.085675,2020-10-02,0.610759,0.970724,2020-08-24
12,Rifferswil,ZH,2021-08-31,0.031343,2021-07-31,0.085675,2020-10-02,0.610759,1.0,2020-08-24
12,Rifferswil,ZH,2021-09-30,0.031437,2021-08-31,0.085675,2020-10-02,0.610759,0.970724,2020-08-24
12,Rifferswil,ZH,2021-10-31,0.032787,2021-09-30,0.08771,2020-12-14,0.610759,0.970724,2020-08-24
12,Rifferswil,ZH,2021-11-30,0.032984,2021-10-31,0.089355,2021-05-12,0.610759,1.0,2021-07-12
12,Rifferswil,ZH,2021-12-31,0.034796,2021-11-30,0.089355,2021-05-12,0.610759,0.995378,2021-07-12
12,Rifferswil,ZH,2022-01-31,0.037994,2021-12-31,0.089355,2021-05-12,0.610759,0.993846,2021-07-12
12,Rifferswil,ZH,2022-02-28,0.040909,2022-01-31,0.089355,2021-05-12,0.610759,0.993846,2021-07-12
12,Rifferswil,ZH,2022-03-31,0.041033,2022-02-28,0.089355,2021-05-12,0.607595,0.993846,2021-10-17
13,Stallikon,ZH,2021-03-31,0.015477,2020-09-30,0.015901,2020-01-01,0.309189,0.93348,2019-04-08
13,Stallikon,ZH,2021-04-30,0.016493,2021-03-31,0.015901,2020-01-01,0.309189,0.93348,2019-04-08
13,Stallikon,ZH,2021-05-31,0.016337,2021-04-30,0.016591,2020-12-15,0.309935,0.933528,2020-09-24
13,Stallikon,ZH,2021-06-30,0.016695,2021-05-31,0.016591,2020-12-15,0.309935,0.933528,2020-09-24
13,Stallikon,ZH,2021-07-31,0.017574,2021-06-30,0.016591,2020-12-15,0.3125,0.933625,2020-09-24
13,Stallikon,ZH,2021-08-31,0.018376,2021-07-31,0.016591,2020-12-15,0.312837,0.999222,2020-09-24
13,Stallikon,ZH,2021-09-30,0.019667,2021-08-31,0.01742,2021-05-21,0.313175,0.936904,2020-08-24
13,Stallikon,ZH,2021-10-31,0.019717,2021-09-30,0.01742,2021-05-21,0.310943,0.936996,2021-09-30
13,Stallikon,ZH,2021-11-30,0.021093,2021-10-31,0.01742,2021-05-21,0.312432,0.994879,2021-09-30
13,Stallikon,ZH,2021-12-31,0.02173,2021-11-30,0.019711,2021-05-21,0.312095,0.994879,2021-09-30
13,Stallikon,ZH,2022-01-31,0.022242,2021-12-31,0.019729,2021-05-21,0.312095,0.994879,2022-01-13
13,Stallikon,ZH,2022-02-28,0.023407,2022-01-31,0.019711,2021-05-21,0.312095,0.994879,2022-01-13
13,Stallikon,ZH,2022-03-31,0.024316,2022-02-28,0.020575,2021-10-05,0.335129,0.996342,2022-03-11
14,Wettswil am Albis,ZH,2021-03-31,0.024615,2021-02-28,0.033107,2020-10-21,0.243367,0.982849,2020-11-23
14,Wettswil am Albis,ZH,2021-04-30,0.026026,2021-03-31,0.033107,2020-10-21,0.244059,0.982861,2020-11-23
14,Wettswil am Albis,ZH,2021-05-31,0.027769,2021-04-30,0.039306,2020-10-21,0.244749,0.982874,2020-11-23
14,Wettswil am Albis,ZH,2021-06-30,0.028423,2021-05-31,0.051513,2021-03-11,0.244749,0.982874,2020-11-23
14,Wettswil am Albis,ZH,2021-07-31,0.028502,2021-06-30,0.051921,2021-06-08,0.244749,0.982963,2021-07-26
14,Wettswil am Albis,ZH,2021-08-31,0.029188,2021-07-31,0.051921,2021-06-08,0.244282,0.999246,2021-07-26
14,Wettswil am Albis,ZH,2021-09-30,0.032414,2021-08-31,0.049737,2021-06-08,0.246824,0.982976,2021-07-26
14,Wettswil am Albis,ZH,2021-10-31,0.033323,2021-09-30,0.05002,2021-06-08,0.24614,0.982976,2021-07-26
14,Wettswil am Albis,ZH,2021-11-30,0.033898,2021-10-31,0.050347,2021-06-08,0.245232,0.997779,2021-08-30
14,Wettswil am Albis,ZH,2021-12-31,0.036236,2021-11-30,0.05163,2021-08-09,0.24614,0.997779,2021-08-30
14,Wettswil am Albis,ZH,2022-01-31,0.037523,2021-12-31,0.051895,2021-08-09,0.246824,0.997779,2021-08-30
14,Wettswil am Albis,ZH,2022-02-28,0.039683,2022-01-31,0.051583,2021-08-09,0.246824,0.997779,2021-08-30
14,Wettswil am Albis,ZH,2022-03-31,0.041603,2022-02-28,0.054579,2021-11-24,0.249094,0.997783,2021-08-30
21,Adlikon,ZH,2021-03-31,0.014228,2020-12-31,0.053067,2020-01-01,0.572072,0.942857,2019-01-09
21,Adlikon,ZH,2021-04-30,0.016,2021-03-31,0.053067,2020-01-01,0.574661,0.942721,2019-01-09
21,Adlikon,ZH,2021-05-31,0.019881,2021-04-30,0.052681,2020-07-21,0.574661,0.942721,2019-01-09
21,Adlikon,ZH,2021-06-30,0.021739,2021-05-31,0.054071,2020-07-21,0.574661,0.942857,2019-01-09
21,Adlikon,ZH,2021-07-31,0.021569,2021-06-30,0.055893,2021-04-16,0.574661,0.942857,2019-01-09
21,Adlikon,ZH,2021-08-31,0.021611,2021-07-31,0.055893,2021-04-16,0.574661,1.0,2019-01-09
21,Adlikon,ZH,2021-09-30,0.021526,2021-08-31,0.055893,2021-04-16,0.574661,0.942857,2019-01-09
21,Adlikon,ZH,2021-10-31,0.021526,2021-09-30,0.055893,2021-04-16,0.574661,0.942857,2019-01-09
21,Adlikon,ZH,2021-11-30,0.021956,2021-10-31,0.054503,2021-04-16,0.574661,1.0,2021-02-18
21,Adlikon,ZH,2021-12-31,0.022044,2021-11-30,0.069152,2021-04-16,0.58371,1.0,2021-12-21
21,Adlikon,ZH,2022-01-31,0.026104,2021-12-31,0.075572,2021-04-16,0.58371,1.0,2021-12-21
21,Adlikon,ZH,2022-02-28,0.026369,2022-01-31,0.069497,2021-04-16,0.58371,1.0,2021-12-21
21,Adlikon,ZH,2022-03-31,0.026157,2022-02-28,0.069497,2021-04-16,0.588235,1.0,2021-12-21
22,Benken (ZH),ZH,2021-03-31,0.013962,2021-02-28,0.013687,2020-01-01,0.540441,0.989429,2020-08-12
22,Benken (ZH),ZH,2021-04-30,0.013913,2021-03-31,0.013687,2020-01-01,0.540441,0.989429,2020-08-12
22,Benken (ZH),ZH,2021-05-31,0.013769,2021-04-30,0.013687,2020-04-29,0.540441,0.989429,2020-08-12
22,Benken (ZH),ZH,2021-06-30,0.013652,2021-05-31,0.013687,2020-04-29,0.540441,0.989429,2020-08-12
22,Benken (ZH),ZH,2021-07-31,0.015228,2021-06-30,0.014232,2021-02-09,0.540441,0.989429,2020-08-12
22,Benken (ZH),ZH,2021-08-31,0.015306,2021-07-31,0.014232,2021-02-09,0.540441,1.0,2020-08-12
22,Benken (ZH),ZH,2021-09-30,0.016892,2021-08-31,0.014232,2021-02-09,0.540441,0.989474,2021-08-23
22,Benken (ZH),ZH,2021-10-31,0.015358,2021-09-30,0.014232,2021-02-09,0.540441,0.989474,2021-08-23
22,Benken (ZH),ZH,2021-11-30,0.015437,2021-10-31,0.014232,2021-02-09,0.540441,0.995789,2021-08-23
22,Benken (ZH),ZH,2021-12-31,0.015598,2021-11-30,0.014232,2021-02-09,0.542125,0.997895,2021-12-23
22,Benken (ZH),ZH,2022-01-31,0.015873,2021-12-31,0.015286,2021-02-09,0.542125,0.997895,2021-12-23
22,Benken (ZH),ZH,2022-02-28,0.015929,2022-01-31,0.013909,2021-02-09,0.542125,0.997895,2021-12-23
22,Benken (ZH),ZH,2022-03-31,0.016129,2022-02-28,0.015363,2021-05-27,0.542125,0.997895,2021-12-23
23,Berg am Irchel,ZH,2021-03-31,0.006682,2020-07-31,0.031157,2020-01-01,0.658333,0.935961,2019-07-16
23,Berg am Irchel,ZH,2021-04-30,0.006865,2021-03-31,0.031157,2020-01-01,0.658333,0.935961,2019-07-16
23,Berg am Irchel,ZH,2021-05-31,0.006579,2021-04-30,0.029879,2020-06-08,0.659751,0.936118,2019-07-16
23,Berg am Irchel,ZH,2021-06-30,0.006536,2021-05-31,0.029879,2020-06-08,0.659751,0.936118,2019-07-16
23,Berg am Irchel,ZH,2021-07-31,0.006494,2021-06-30,0.029879,2020-06-08,0.661157,0.938575,2019-07-16
23,Berg am Irchel,ZH,2021-08-31,0.008639,2021-07-31,0.029879,2020-06-08,0.661157,0.997389,2019-07-16
23,Berg am Irchel,ZH,2021-09-30,0.008584,2021-08-31,0.029879,2020-06-08,0.661157,0.938575,2019-07-16
23,Berg am Irchel,ZH,2021-10-31,0.010638,2021-09-30,0.031118,2020-09-30,0.661157,0.938575,2019-07-16
23,Berg am Irchel,ZH,2021-11-30,0.010917,2021-10-31,0.040971,2021-03-24,0.661157,0.997543,2021-07-22
23,Berg am Irchel,ZH,2021-12-31,0.011161,2021-11-30,0.040971,2021-03-24,0.661157,0.997543,2021-07-22
23,Berg am Irchel,ZH,2022-01-31,0.011111,2021-12-31,0.041614,2021-03-24,0.661157,0.997543,2021-07-22
23,Berg am Irchel,ZH,2022-02-28,0.011211,2022-01-31,0.040656,2021-03-24,0.661157,0.997543,2021-07-22
23,Berg am Irchel,ZH,2022-03-31,0.00905,2022-02-28,0.040656,2021-03-24,0.661157,0.997543,2021-07-22
24,Buch am Irchel,ZH,2021-03-31,0.021866,2020-12-31,0.032339,2020-01-01,0.686869,0.901818,2020-11-10
24,Buch am Irchel,ZH,2021-04-30,0.0279,2021-03-31,0.032339,2020-01-01,0.687919,0.901996,2020-11-10
24,Buch am Irchel,ZH,2021-05-31,0.028107,2021-04-30,0.038271,2020-10-16,0.687919,0.901996,2020-11-10
