country,energyreporter_date,electric_car_share,electric_car_share_last_change,solar_potential_usage,solar_potential_usage_last_change,renewable_heating_share,renewable_heating_share_coverage,renewable_heating_share_last_change
Schweiz/Suisse/Svizzera,2021-03-31,0.009759,2021-02-28,0.042506,2020-12-16,0.308651,0.934099,2021-03-19
Schweiz/Suisse/Svizzera,2021-04-30,0.011622,2021-03-31,0.042506,2020-12-16,0.309264,0.932103,2021-04-07
Schweiz/Suisse/Svizzera,2021-05-31,0.011981,2021-04-30,0.048155,2021-04-14,0.310018,0.930176,2021-04-30
Schweiz/Suisse/Svizzera,2021-06-30,0.012357,2021-05-31,0.049528,2021-06-08,0.310601,0.926999,2021-06-10
Schweiz/Suisse/Svizzera,2021-07-31,0.013044,2021-06-30,0.050311,2021-07-03,0.31185,0.919524,2109-12-31
Schweiz/Suisse/Svizzera,2021-08-31,0.013385,2021-07-31,0.050307,2021-07-03,0.312318,0.997887,2021-07-30
Schweiz/Suisse/Svizzera,2021-09-30,0.013854,2021-08-31,0.051056,2021-08-19,0.313651,0.910845,2021-09-14
Schweiz/Suisse/Svizzera,2021-10-31,0.014636,2021-09-30,0.05216,2021-09-15,0.315262,0.902883,2021-10-27
Schweiz/Suisse/Svizzera,2021-11-30,0.015121,2021-10-31,0.052949,2021-09-23,0.316549,0.921766,2021-11-26
Schweiz/Suisse/Svizzera,2021-12-31,0.0159,2021-11-30,0.054159,2021-11-16,0.316616,0.919005,2021-12-24
Schweiz/Suisse/Svizzera,2022-01-31,0.016982,2021-12-31,0.05592,2021-11-16,0.317502,0.918467,2022-01-22
Schweiz/Suisse/Svizzera,2022-02-28,0.017447,2022-01-31,0.053285,2021-11-16,0.317502,0.918467,2022-01-22
Schweiz/Suisse/Svizzera,2022-03-31,0.017949,2022-02-28,0.054933,2022-02-11,0.32635,0.918158,2022-03-28
