canton,energyreporter_date,electric_car_share,electric_car_share_last_change,solar_potential_usage,solar_potential_usage_last_change,renewable_heating_share,renewable_heating_share_coverage,renewable_heating_share_last_change
BL,2021-09-30,0.013989,2021-08-31,0.052163,2021-07-30,0.243565,0.998162,2021-07-14
BL,2021-10-31,0.014763,2021-09-30,0.053623,2021-08-19,0.252629,0.997749,2021-10-13
BL,2021-11-30,0.015133,2021-10-31,0.054191,2021-09-09,0.252932,0.997749,2021-11-10
BL,2021-12-31,0.015843,2021-11-30,0.055159,2021-10-26,0.252943,0.997749,2021-11-10
BL,2022-01-31,0.016847,2021-12-31,0.055231,2021-10-26,0.252932,0.997749,2021-11-10
BL,2022-02-28,0.017369,2022-01-31,0.055231,2021-10-26,0.252932,0.997749,2021-11-10
BL,2022-03-31,0.017913,2022-02-28,0.056768,2022-02-11,0.254236,0.997733,2022-03-07
BS,2021-03-31,0.010025,2021-01-31,0.034114,2020-10-23,0.294686,0.999633,2020-10-09
BS,2021-04-30,0.011864,2021-03-31,0.034118,2020-10-23,0.294829,0.999634,2020-10-09
BS,2021-05-31,0.012096,2021-04-30,0.045894,2021-02-11,0.296591,0.999435,2020-10-09
BS,2021-06-30,0.012293,2021-05-31,0.048831,2021-05-19,0.296846,0.999433,2020-10-09
BS,2021-07-31,0.013039,2021-06-30,0.04981,2021-05-26,0.297613,0.999466,2109-12-31
BS,2021-08-31,0.013406,2021-07-31,0.04981,2021-05-26,0.297532,0.999466,2021-07-16
BS,2021-09-30,0.013668,2021-08-31,0.050323,2021-06-18,0.297874,0.999466,2021-08-19
BS,2021-10-31,0.014415,2021-09-30,0.050495,2021-07-27,0.298395,0.999466,2021-10-11
BS,2021-11-30,0.014777,2021-10-31,0.050744,2021-08-17,0.29601,0.999466,2021-11-01
BS,2021-12-31,0.015566,2021-11-30,0.051761,2021-09-28,0.296255,0.999466,2021-12-02
BS,2022-01-31,0.016433,2021-12-31,0.051682,2021-09-28,0.296527,0.999466,2021-12-14
BS,2022-02-28,0.016848,2022-01-31,0.051682,2021-09-28,0.296527,0.999466,2021-12-14
BS,2022-03-31,0.017055,2022-02-28,0.052977,2021-12-08,0.312931,0.999466,2022-03-14
FR,2021-03-31,0.007784,2021-02-28,0.055492,2020-12-16,0.39943,0.959538,2021-03-10
FR,2021-04-30,0.009531,2021-03-31,0.055492,2020-12-16,0.395805,0.959584,2021-04-01
FR,2021-05-31,0.009802,2021-04-30,0.060436,2021-02-12,0.396472,0.959673,2021-04-29
FR,2021-06-30,0.01022,2021-05-31,0.061677,2021-05-28,0.396677,0.951258,2021-05-28
FR,2021-07-31,0.010967,2021-06-30,0.062421,2021-06-25,0.401878,0.860898,2021-07-23
FR,2021-08-31,0.011138,2021-07-31,0.062419,2021-06-25,0.402162,0.998644,2021-07-27
FR,2021-09-30,0.01165,2021-08-31,0.063398,2021-07-19,0.40225,0.733663,2021-09-10
FR,2021-10-31,0.012567,2021-09-30,0.064348,2021-08-11,0.404053,0.648976,2021-10-25
FR,2021-11-30,0.013131,2021-10-31,0.065009,2021-09-11,0.404486,0.62874,2021-11-26
FR,2021-12-31,0.013955,2021-11-30,0.066339,2021-10-20,0.404526,0.60397,2021-12-23
FR,2022-01-31,0.01506,2021-12-31,0.066357,2021-10-20,0.405243,0.604016,2022-01-21
FR,2022-02-28,0.015401,2022-01-31,0.066357,2021-10-20,0.405243,0.604016,2022-01-21
FR,2022-03-31,0.016042,2022-02-28,0.067711,2021-12-06,0.438198,0.604222,2022-03-25
GE,2021-03-31,0.008151,2021-02-28,0.029537,2020-11-12,0.102922,0.910803,2021-03-18
GE,2021-04-30,0.010135,2021-03-31,0.029537,2020-11-12,0.100473,0.910869,2021-03-18
GE,2021-05-31,0.010334,2021-04-30,0.03886,2020-12-31,0.100945,0.910949,2021-04-15
GE,2021-06-30,0.010558,2021-05-31,0.040302,2021-05-03,0.101161,0.910955,2021-05-18
GE,2021-07-31,0.011138,2021-06-30,0.040706,2021-05-21,0.10671,0.911233,2021-07-14
GE,2021-08-31,0.011402,2021-07-31,0.040706,2021-05-21,0.106973,0.999256,2021-07-14
GE,2021-09-30,0.011766,2021-08-31,0.041764,2021-06-15,0.106981,0.911406,2021-08-18
GE,2021-10-31,0.012478,2021-09-30,0.042856,2021-07-31,0.108473,0.911643,2021-10-13
GE,2021-11-30,0.012781,2021-10-31,0.043079,2021-08-30,0.108346,0.99299,2021-10-13
GE,2021-12-31,0.01339,2021-11-30,0.043626,2021-10-01,0.105699,0.996256,2021-10-13
GE,2022-01-31,0.014088,2021-12-31,0.043474,2021-10-01,0.106028,0.996256,2022-01-20
GE,2022-02-28,0.014328,2022-01-31,0.043474,2021-10-01,0.106028,0.996256,2022-01-20
GE,2022-03-31,0.0147,2022-02-28,0.045328,2021-11-25,0.117308,0.996109,2022-03-16
GL,2021-03-31,0.00601,2020-12-31,0.023747,2020-11-27,0.392981,0.720994,2021-03-18
GL,2021-04-30,0.008237,2021-03-31,0.023747,2020-11-27,0.393324,0.721197,2021-03-18
GL,2021-05-31,0.008592,2021-04-30,0.029333,2020-12-16,0.393622,0.721343,2021-04-22
GL,2021-06-30,0.008891,2021-05-31,0.029829,2021-05-03,0.393948,0.721753,2021-06-08
GL,2021-07-31,0.009712,2021-06-30,0.029912,2021-06-05,0.394953,0.721909,2021-07-12
GL,2021-08-31,0.009867,2021-07-31,0.029912,2021-06-05,0.394597,0.99709,2021-07-12
GL,2021-09-30,0.010123,2021-08-31,0.030975,2021-07-06,0.395546,0.73331,2021-08-30
GL,2021-10-31,0.010799,2021-09-30,0.03274,2021-07-26,0.395956,0.733402,2021-10-15
GL,2021-11-30,0.011123,2021-10-31,0.03325,2021-07-26,0.396294,0.996382,2021-11-26
GL,2021-12-31,0.011512,2021-11-30,0.034516,2021-10-01,0.397882,0.996535,2021-12-20
GL,2022-01-31,0.01207,2021-12-31,0.034516,2021-10-01,0.398136,0.996574,2022-01-06
GL,2022-02-28,0.012776,2022-01-31,0.034516,2021-10-01,0.398136,0.996574,2022-01-06
GL,2022-03-31,0.013126,2022-02-28,0.038711,2021-11-15,0.400663,0.996498,2022-03-23
GR,2021-03-31,0.007805,2021-02-28,0.030147,2020-11-09,0.421384,0.972219,2021-03-19
GR,2021-04-30,0.009458,2021-03-31,0.030147,2020-11-09,0.421304,0.972166,2021-03-31
GR,2021-05-31,0.009719,2021-04-30,0.035295,2021-04-14,0.423005,0.97203,2021-04-29
GR,2021-06-30,0.009957,2021-05-31,0.036267,2021-06-01,0.423684,0.970723,2021-06-10
GR,2021-07-31,0.010449,2021-06-30,0.036742,2021-06-10,0.424775,0.97033,2021-07-22
GR,2021-08-31,0.010708,2021-07-31,0.036742,2021-06-10,0.425033,0.997093,2021-07-27
GR,2021-09-30,0.011121,2021-08-31,0.037464,2021-07-27,0.426932,0.970145,2021-09-14
GR,2021-10-31,0.011632,2021-09-30,0.038225,2021-08-24,0.428019,0.969899,2021-10-25
GR,2021-11-30,0.012081,2021-10-31,0.039273,2021-09-08,0.428487,0.982114,2021-11-25
GR,2021-12-31,0.012593,2021-11-30,0.040007,2021-11-05,0.43019,0.976862,2021-12-23
GR,2022-01-31,0.013786,2021-12-31,0.040003,2021-11-05,0.431005,0.973736,2022-01-21
GR,2022-02-28,0.014168,2022-01-31,0.040003,2021-11-05,0.431005,0.973736,2022-01-21
GR,2022-03-31,0.014486,2022-02-28,0.040832,2021-12-20,0.432387,0.968725,2022-03-25
JU,2021-03-31,0.006431,2021-02-28,0.048844,2020-12-08,0.324204,0.796042,2021-03-18
JU,2021-04-30,0.007484,2021-03-31,0.048844,2020-12-08,0.325022,0.737789,2021-04-07
JU,2021-05-31,0.007918,2021-04-30,0.055419,2021-02-19,0.326481,0.738029,2021-04-29
JU,2021-06-30,0.008297,2021-05-31,0.057472,2021-04-27,0.327223,0.731218,2021-06-09
JU,2021-07-31,0.009132,2021-06-30,0.056781,2021-05-06,0.330013,0.668613,2021-07-19
JU,2021-08-31,0.009566,2021-07-31,0.056781,2021-05-06,0.330048,0.997929,2021-07-27
JU,2021-09-30,0.010033,2021-08-31,0.057261,2021-06-22,0.337064,0.660658,2021-09-14
JU,2021-10-31,0.010726,2021-09-30,0.059477,2021-08-09,0.340283,0.586434,2021-10-27
JU,2021-11-30,0.011194,2021-10-31,0.059834,2021-09-17,0.341798,0.534773,2021-11-26
JU,2021-12-31,0.011763,2021-11-30,0.061134,2021-09-17,0.343631,0.535118,2021-12-23
JU,2022-01-31,0.012508,2021-12-31,0.06092,2021-09-17,0.344855,0.535531,2022-01-21
JU,2022-02-28,0.013012,2022-01-31,0.06092,2021-09-17,0.344855,0.535531,2022-01-21
JU,2022-03-31,0.013308,2022-02-28,0.06384,2021-12-03,0.348748,0.535659,2022-03-24
LU,2021-03-31,0.009095,2021-02-28,0.066817,2020-11-30,0.407421,0.960141,2021-03-18
LU,2021-04-30,0.010703,2021-03-31,0.066816,2020-11-30,0.407961,0.960133,2021-04-06
LU,2021-05-31,0.011125,2021-04-30,0.074231,2021-03-05,0.408725,0.960184,2021-04-30
LU,2021-06-30,0.011439,2021-05-31,0.075756,2021-06-02,0.409852,0.96022,2021-06-07
LU,2021-07-31,0.012037,2021-06-30,0.077481,2021-06-22,0.414493,0.960299,2021-07-26
LU,2021-08-31,0.012418,2021-07-31,0.07748,2021-06-22,0.414597,0.99024,2021-07-30
LU,2021-09-30,0.012906,2021-08-31,0.078237,2021-07-22,0.419456,0.96018,2021-09-14
LU,2021-10-31,0.013536,2021-09-30,0.07963,2021-08-12,0.421149,0.960299,2021-10-22
LU,2021-11-30,0.014003,2021-10-31,0.081149,2021-09-22,0.423389,0.977616,2021-11-26
LU,2021-12-31,0.014676,2021-11-30,0.082519,2021-10-15,0.425836,0.975561,2021-12-23
LU,2022-01-31,0.015622,2021-12-31,0.081974,2021-10-15,0.42769,0.966995,2022-01-21
LU,2022-02-28,0.016046,2022-01-31,0.081974,2021-10-15,0.42769,0.966995,2022-01-21
LU,2022-03-31,0.016579,2022-02-28,0.079718,2021-12-10,0.431764,0.967358,2022-03-23
NE,2021-03-31,0.00648,2021-02-28,0.048709,2020-11-18,0.197944,0.947577,2021-03-16
NE,2021-04-30,0.007581,2021-03-31,0.048709,2020-11-18,0.198065,0.947489,2021-03-26
NE,2021-05-31,0.007836,2021-04-30,0.053312,2021-01-22,0.198522,0.948223,2021-04-19
NE,2021-06-30,0.008152,2021-05-31,0.054982,2021-06-08,0.199338,0.948529,2021-05-21
NE,2021-07-31,0.008704,2021-06-30,0.056142,2021-06-08,0.200063,0.948666,2021-07-08
NE,2021-08-31,0.00897,2021-07-31,0.056142,2021-06-08,0.200038,0.998434,2021-07-16
NE,2021-09-30,0.009258,2021-08-31,0.056418,2021-07-05,0.203904,0.949184,2021-09-10
NE,2021-10-31,0.009783,2021-09-30,0.05735,2021-07-29,0.204794,0.94933,2021-10-20
NE,2021-11-30,0.010054,2021-10-31,0.057575,2021-08-20,0.204026,0.949236,2021-11-25
NE,2021-12-31,0.010632,2021-11-30,0.059468,2021-09-30,0.199378,0.949461,2021-12-23
NE,2022-01-31,0.011362,2021-12-31,0.058867,2021-09-30,0.199617,0.949614,2022-01-14
NE,2022-02-28,0.01173,2022-01-31,0.058867,2021-09-30,0.199617,0.949614,2022-01-14
NE,2022-03-31,0.012003,2022-02-28,0.061213,2021-12-15,0.210612,0.94985,2022-03-23
NW,2021-03-31,0.010712,2021-02-28,0.037387,2020-09-29,0.43202,0.965826,2021-03-19
NW,2021-04-30,0.01223,2021-03-31,0.037401,2020-09-29,0.431967,0.966141,2021-04-07
NW,2021-05-31,0.012337,2021-04-30,0.045585,2020-12-08,0.432283,0.966207,2021-04-26
NW,2021-06-30,0.012726,2021-05-31,0.047015,2021-05-12,0.433301,0.966025,2021-06-01
NW,2021-07-31,0.013188,2021-06-30,0.047525,2021-05-25,0.434772,0.965465,2021-07-26
NW,2021-08-31,0.013818,2021-07-31,0.047525,2021-05-25,0.434202,0.995076,2021-07-26
NW,2021-09-30,0.014431,2021-08-31,0.048541,2021-06-02,0.43522,0.966248,2021-09-06
NW,2021-10-31,0.015044,2021-09-30,0.048817,2021-06-02,0.436672,0.966166,2021-09-23
NW,2021-11-30,0.01528,2021-10-31,0.049224,2021-08-11,0.438773,0.988005,2021-11-25
NW,2021-12-31,0.016008,2021-11-30,0.049504,2021-09-24,0.440113,0.98838,2021-12-20
NW,2022-01-31,0.017194,2021-12-31,0.049515,2021-09-24,0.446346,0.988528,2022-01-17
NW,2022-02-28,0.017481,2022-01-31,0.049515,2021-09-24,0.446346,0.988528,2022-01-17
NW,2022-03-31,0.018116,2022-02-28,0.055838,2021-12-04,0.453511,0.988396,2022-03-25
OW,2021-03-31,0.009152,2021-02-28,0.052466,2020-11-20,0.513038,0.940655,2021-03-19
OW,2021-04-30,0.010978,2021-03-31,0.052466,2020-11-20,0.513957,0.940687,2021-04-07
OW,2021-05-31,0.011405,2021-04-30,0.056573,2020-12-15,0.514471,0.940783,2021-04-29
OW,2021-06-30,0.011482,2021-05-31,0.057472,2021-04-29,0.51493,0.941336,2021-06-10
OW,2021-07-31,0.011836,2021-06-30,0.059391,2021-06-25,0.515702,0.941506,2021-07-23
OW,2021-08-31,0.012108,2021-07-31,0.059391,2021-06-25,0.515463,0.996663,2021-07-27
OW,2021-09-30,0.012475,2021-08-31,0.059839,2021-06-25,0.51672,0.94217,2021-09-14
OW,2021-10-31,0.013038,2021-09-30,0.060491,2021-07-26,0.521689,0.942629,2021-10-20
OW,2021-11-30,0.013169,2021-10-31,0.060816,2021-09-17,0.53224,0.988677,2021-11-26
OW,2021-12-31,0.013773,2021-11-30,0.061413,2021-09-23,0.535096,0.988817,2021-12-22
OW,2022-01-31,0.014844,2021-12-31,0.061135,2021-09-23,0.535648,0.98883,2022-01-20
OW,2022-02-28,0.015191,2022-01-31,0.061135,2021-09-23,0.535648,0.98883,2022-01-20
OW,2022-03-31,0.015794,2022-02-28,0.06045,2022-01-13,0.536302,0.988828,2022-03-24
SG,2021-03-31,0.009308,2021-02-28,0.057347,2020-12-14,0.350182,0.936166,2021-03-19
SG,2021-04-30,0.011613,2021-03-31,0.057348,2020-12-14,0.350582,0.936909,2021-04-07
SG,2021-05-31,0.011985,2021-04-30,0.0642,2021-03-28,0.351581,0.929558,2021-04-29
SG,2021-06-30,0.012351,2021-05-31,0.06566,2021-06-03,0.352342,0.926511,2021-06-09
SG,2021-07-31,0.013005,2021-06-30,0.066776,2021-06-17,0.354684,0.921733,2021-07-26
SG,2021-08-31,0.013379,2021-07-31,0.066776,2021-06-17,0.355227,0.99721,2021-07-27
SG,2021-09-30,0.013847,2021-08-31,0.068198,2021-07-19,0.355731,0.912055,2021-09-14
SG,2021-10-31,0.014545,2021-09-30,0.069919,2021-08-26,0.358101,0.911645,2021-10-26
SG,2021-11-30,0.015077,2021-10-31,0.071121,2021-09-23,0.361824,0.941928,2021-11-26
SG,2021-12-31,0.015779,2021-11-30,0.072863,2021-11-11,0.366738,0.936719,2021-12-24
SG,2022-01-31,0.016883,2021-12-31,0.072884,2021-11-11,0.367399,0.935161,2022-01-21
SG,2022-02-28,0.017383,2022-01-31,0.072884,2021-11-11,0.367399,0.935161,2022-01-21
SG,2022-03-31,0.017877,2022-02-28,0.072519,2021-12-13,0.369145,0.934766,2022-03-25
SH,2021-03-31,0.009043,2021-02-28,0.035603,2020-11-24,0.280826,0.974075,2021-02-16
SH,2021-04-30,0.010811,2021-03-31,0.035603,2020-11-24,0.281084,0.973938,2021-02-16
SH,2021-05-31,0.011252,2021-04-30,0.045356,2021-02-04,0.281987,0.973627,2021-04-30
SH,2021-06-30,0.011628,2021-05-31,0.045852,2021-04-29,0.283232,0.9736,2021-05-25
SH,2021-07-31,0.012224,2021-06-30,0.046399,2021-05-21,0.285357,0.973469,2021-07-15
SH,2021-08-31,0.012682,2021-07-31,0.046399,2021-05-21,0.285356,0.990714,2021-07-27
SH,2021-09-30,0.013153,2021-08-31,0.046816,2021-07-20,0.286962,0.973323,2021-09-14
SH,2021-10-31,0.01372,2021-09-30,0.048434,2021-07-21,0.288514,0.973401,2021-10-27
SH,2021-11-30,0.014227,2021-10-31,0.049387,2021-08-20,0.290296,0.978312,2021-11-26
SH,2021-12-31,0.015169,2021-11-30,0.04994,2021-10-18,0.291166,0.978421,2021-12-22
SH,2022-01-31,0.016294,2021-12-31,0.049946,2021-10-18,0.29173,0.978489,2022-01-21
SH,2022-02-28,0.016947,2022-01-31,0.049946,2021-10-18,0.29173,0.978489,2022-01-21
SH,2022-03-31,0.017338,2022-02-28,0.048842,2021-11-26,0.293732,0.978578,2022-03-22
SO,2021-03-31,0.008219,2021-02-28,0.051178,2020-11-23,0.344138,0.972017,2021-03-12
SO,2021-04-30,0.009643,2021-03-31,0.051178,2020-11-23,0.36702,0.971923,2021-04-07
SO,2021-05-31,0.009896,2021-04-30,0.055,2021-03-03,0.368808,0.971966,2021-04-30
SO,2021-06-30,0.010368,2021-05-31,0.055859,2021-05-25,0.368135,0.970096,2021-06-09
SO,2021-07-31,0.010917,2021-06-30,0.056489,2021-06-24,0.296057,0.956737,2021-07-12
SO,2021-08-31,0.011257,2021-07-31,0.056489,2021-06-24,0.2963,0.998379,2021-07-13
SO,2021-09-30,0.011678,2021-08-31,0.057074,2021-07-13,0.297233,0.956783,2021-09-01
SO,2021-10-31,0.012256,2021-09-30,0.058018,2021-08-23,0.297089,0.930311,2021-10-26
SO,2021-11-30,0.012714,2021-10-31,0.058732,2021-09-03,0.299287,0.94339,2021-11-25
SO,2021-12-31,0.013428,2021-11-30,0.059591,2021-10-12,0.286604,0.948347,2021-12-24
SO,2022-01-31,0.014332,2021-12-31,0.059169,2021-10-12,0.287243,0.957331,2022-01-14
SO,2022-02-28,0.01474,2022-01-31,0.059169,2021-10-12,0.287243,0.957331,2022-01-14
SO,2022-03-31,0.01502,2022-02-28,0.058887,2022-01-19,0.301469,0.958688,2022-03-25
SZ,2021-03-31,0.01148,2021-02-28,0.043606,2020-11-24,0.374958,0.943911,2021-03-18
SZ,2021-04-30,0.013168,2021-03-31,0.043606,2020-11-24,0.374351,0.943817,2021-04-07
SZ,2021-05-31,0.013523,2021-04-30,0.047394,2021-02-02,0.375396,0.934652,2021-04-30
SZ,2021-06-30,0.013746,2021-05-31,0.04864,2021-04-22,0.375989,0.893342,2021-06-10
SZ,2021-07-31,0.014224,2021-06-30,0.048814,2021-05-28,0.377382,0.89495,2021-07-21
SZ,2021-08-31,0.014491,2021-07-31,0.048814,2021-05-28,0.377772,0.99807,2021-07-27
SZ,2021-09-30,0.01482,2021-08-31,0.049657,2021-06-17,0.378977,0.895257,2021-09-14
SZ,2021-10-31,0.015708,2021-09-30,0.050596,2021-07-20,0.380479,0.890133,2021-10-19
SZ,2021-11-30,0.016382,2021-10-31,0.051843,2021-09-13,0.3818,0.920512,2021-11-26
SZ,2021-12-31,0.017258,2021-11-30,0.053928,2021-09-30,0.384674,0.920669,2021-12-23
SZ,2022-01-31,0.018305,2021-12-31,0.053928,2021-09-30,0.385733,0.877194,2022-01-21
SZ,2022-02-28,0.018883,2022-01-31,0.053928,2021-09-30,0.385733,0.877194,2022-01-21
SZ,2022-03-31,0.019364,2022-02-28,0.055851,2021-12-09,0.394647,0.876021,2022-03-25
TG,2021-03-31,0.010228,2021-02-28,0.055284,2020-12-07,0.312398,0.97174,2021-03-16
TG,2021-04-30,0.012358,2021-03-31,0.055283,2020-12-07,0.312828,0.971812,2021-04-07
TG,2021-05-31,0.012924,2021-04-30,0.065275,2021-03-19,0.313717,0.971863,2021-04-26
TG,2021-06-30,0.013353,2021-05-31,0.069661,2021-06-02,0.314219,0.971913,2021-05-31
TG,2021-07-31,0.014232,2021-06-30,0.070457,2021-06-17,0.315123,0.971686,2021-07-22
TG,2021-08-31,0.014644,2021-07-31,0.070457,2021-06-17,0.315308,0.99853,2021-07-22
TG,2021-09-30,0.015139,2021-08-31,0.071043,2021-07-22,0.315977,0.972054,2021-09-14
TG,2021-10-31,0.016014,2021-09-30,0.072335,2021-08-17,0.317878,0.972063,2021-10-22
TG,2021-11-30,0.016556,2021-10-31,0.073472,2021-09-10,0.319761,0.985213,2021-11-25
TG,2021-12-31,0.017353,2021-11-30,0.075164,2021-11-04,0.321319,0.985378,2021-12-23
TG,2022-01-31,0.018245,2021-12-31,0.075381,2021-11-04,0.322846,0.985503,2022-01-20
TG,2022-02-28,0.018762,2022-01-31,0.075381,2021-11-04,0.322846,0.985503,2022-01-20
TG,2022-03-31,0.019228,2022-02-28,0.073667,2021-12-21,0.326295,0.985422,2022-03-25
TI,2021-03-31,0.008043,2021-02-28,0.032654,2020-12-01,0.261104,0.985515,2021-03-18
TI,2021-04-30,0.009499,2021-03-31,0.032654,2020-12-01,0.26174,0.985947,2021-04-07
TI,2021-05-31,0.009906,2021-04-30,0.035658,2021-03-16,0.26206,0.985982,2021-04-30
TI,2021-06-30,0.01031,2021-05-31,0.036995,2021-05-31,0.263143,0.986024,2021-06-10
TI,2021-07-31,0.010987,2021-06-30,0.037374,2021-06-24,0.265065,0.986097,2021-07-22
TI,2021-08-31,0.011304,2021-07-31,0.037383,2021-06-24,0.265413,0.999472,2021-07-22
TI,2021-09-30,0.011631,2021-08-31,0.037893,2021-07-21,0.266948,0.98618,2021-09-10
TI,2021-10-31,0.012408,2021-09-30,0.038555,2021-09-07,0.268482,0.986201,2021-10-22
TI,2021-11-30,0.012933,2021-10-31,0.039096,2021-09-17,0.269513,0.998795,2021-11-26
TI,2021-12-31,0.013525,2021-11-30,0.039842,2021-11-09,0.270496,0.998807,2021-12-23
