canton,energyreporter_date,electric_car_share,electric_car_share_last_change,solar_potential_usage,solar_potential_usage_last_change,renewable_heating_share,renewable_heating_share_coverage,renewable_heating_share_last_change
AG,2021-03-31,0.009552,2021-02-28,0.036269,2020-12-03,0.343695,0.982558,2021-03-10
AG,2021-04-30,0.01115,2021-03-31,0.036269,2020-12-03,0.343781,0.982812,2021-03-24
AG,2021-05-31,0.01145,2021-04-30,0.040141,2021-03-01,0.344374,0.98309,2021-04-08
AG,2021-06-30,0.011895,2021-05-31,0.041621,2021-05-18,0.344786,0.983171,2021-06-02
AG,2021-07-31,0.012569,2021-06-30,0.04253,2021-06-11,0.346022,0.983212,2021-07-08
AG,2021-08-31,0.012909,2021-07-31,0.04253,2021-06-11,0.346409,0.998598,2021-07-20
AG,2021-09-30,0.013404,2021-08-31,0.043326,2021-08-19,0.348954,0.983128,2021-09-10
AG,2021-10-31,0.014186,2021-09-30,0.044218,2021-09-04,0.35052,0.983171,2021-10-21
AG,2021-11-30,0.014676,2021-10-31,0.04519,2021-09-11,0.352821,0.99278,2021-11-26
AG,2021-12-31,0.015432,2021-11-30,0.046312,2021-10-25,0.354088,0.993089,2021-12-24
AG,2022-01-31,0.016351,2021-12-31,0.046314,2021-10-25,0.355352,0.993122,2022-01-21
AG,2022-02-28,0.016812,2022-01-31,0.046314,2021-10-25,0.355352,0.993122,2022-01-21
AG,2022-03-31,0.01726,2022-02-28,0.047966,2021-12-10,0.358123,0.99308,2022-03-28
AI,2021-03-31,0.009226,2021-01-31,0.074233,2020-12-01,0.540383,0.999132,2021-01-14
AI,2021-04-30,0.011805,2021-03-31,0.074233,2020-12-01,0.540201,0.999132,2021-01-14
AI,2021-05-31,0.011816,2021-04-30,0.078697,2021-03-30,0.540649,0.999132,2021-02-12
AI,2021-06-30,0.012443,2021-05-31,0.080299,2021-04-16,0.541629,0.999133,2021-05-06
AI,2021-07-31,0.012847,2021-06-30,0.08252,2021-06-01,0.54228,0.999134,2021-05-06
AI,2021-08-31,0.013006,2021-07-31,0.08252,2021-06-01,0.542077,0.999675,2021-05-06
AI,2021-09-30,0.013181,2021-08-31,0.082548,2021-06-01,0.542576,0.999134,2021-08-02
AI,2021-10-31,0.013954,2021-09-30,0.084098,2021-08-16,0.542478,0.999134,2021-08-02
AI,2021-11-30,0.014424,2021-10-31,0.086078,2021-08-20,0.543039,0.999026,2021-11-24
AI,2021-12-31,0.015786,2021-11-30,0.086587,2021-09-13,0.544099,0.999135,2021-12-06
AI,2022-01-31,0.016101,2021-12-31,0.086624,2021-09-13,0.544297,0.999134,2022-01-13
AI,2022-02-28,0.01665,2022-01-31,0.086624,2021-09-13,0.544297,0.999134,2022-01-13
AI,2022-03-31,0.017367,2022-02-28,0.087705,2021-12-15,0.5479,0.999135,2022-03-22
AR,2021-03-31,0.009047,2021-02-28,0.047163,2020-11-16,0.398598,0.945785,2021-03-17
AR,2021-04-30,0.010304,2021-03-31,0.047163,2020-11-16,0.398672,0.945851,2021-04-07
AR,2021-05-31,0.010552,2021-04-30,0.051969,2021-02-11,0.4,0.936064,2021-04-22
AR,2021-06-30,0.01098,2021-05-31,0.053388,2021-05-18,0.400353,0.942536,2021-06-10
AR,2021-07-31,0.011427,2021-06-30,0.053583,2021-05-18,0.4013,0.952598,2021-07-26
AR,2021-08-31,0.011678,2021-07-31,0.053583,2021-05-18,0.401337,0.998345,2021-07-26
AR,2021-09-30,0.012245,2021-08-31,0.05375,2021-05-18,0.402889,0.952615,2021-09-08
AR,2021-10-31,0.012882,2021-09-30,0.055296,2021-08-18,0.403908,0.952777,2021-10-07
AR,2021-11-30,0.013188,2021-10-31,0.055443,2021-08-18,0.405694,0.975146,2021-11-26
AR,2021-12-31,0.013701,2021-11-30,0.057382,2021-10-11,0.40695,0.975197,2021-12-17
AR,2022-01-31,0.014142,2021-12-31,0.0574,2021-10-11,0.407336,0.975204,2022-01-22
AR,2022-02-28,0.014364,2022-01-31,0.0574,2021-10-11,0.407336,0.975204,2022-01-22
AR,2022-03-31,0.014704,2022-02-28,0.05839,2021-11-18,0.409069,0.975264,2022-03-24
BE,2021-03-31,0.007967,2021-02-28,0.04021,2020-12-05,0.296227,0.827139,2021-03-19
BE,2021-04-30,0.00942,2021-03-31,0.04021,2020-12-05,0.294852,0.819188,2021-04-07
BE,2021-05-31,0.009747,2021-04-30,0.044326,2021-03-15,0.295216,0.813527,2021-04-30
BE,2021-06-30,0.010127,2021-05-31,0.045499,2021-06-03,0.295583,0.810009,2021-06-10
BE,2021-07-31,0.010735,2021-06-30,0.046162,2021-07-03,0.312981,0.799673,2021-07-23
BE,2021-08-31,0.011191,2021-07-31,0.046162,2021-07-03,0.312875,0.998372,2021-07-23
BE,2021-09-30,0.011616,2021-08-31,0.04671,2021-07-15,0.314117,0.792705,2021-09-14
BE,2021-10-31,0.012169,2021-09-30,0.047368,2021-09-04,0.315177,0.790634,2021-10-27
BE,2021-11-30,0.012554,2021-10-31,0.047875,2021-09-13,0.316646,0.801782,2021-11-26
BE,2021-12-31,0.013201,2021-11-30,0.048689,2021-10-26,0.314488,0.800318,2021-12-24
BE,2022-01-31,0.014128,2021-12-31,0.048743,2021-10-26,0.314868,0.802043,2022-01-21
BE,2022-02-28,0.014566,2022-01-31,0.048743,2021-10-26,0.314868,0.802043,2022-01-21
BE,2022-03-31,0.015084,2022-02-28,0.04873,2021-12-27,0.342288,0.802185,2022-03-25
BL,2021-03-31,0.010056,2021-02-28,0.044632,2020-12-07,0.241501,0.998157,2021-01-20
BL,2021-04-30,0.011731,2021-03-31,0.044631,2020-12-07,0.241631,0.998159,2021-03-26
BL,2021-05-31,0.012088,2021-04-30,0.04954,2021-03-11,0.241682,0.998159,2021-04-22
BL,2021-06-30,0.012554,2021-05-31,0.050741,2021-06-04,0.241682,0.998159,2021-04-22
BL,2021-07-31,0.013156,2021-06-30,0.051294,2021-06-28,0.242246,0.998161,2021-07-14
BL,2021-08-31,0.013468,2021-07-31,0.051295,2021-06-28,0.242536,0.998162,2021-07-14
